iter	Passed	Remaining
0	2	267
1	5	278
2	8	265
3	10	240
4	11	226
5	23	365
6	25	336
7	26	310
8	28	292
9	30	277
10	33	267
11	35	257
12	36	245
13	38	233
14	39	222
15	40	213
16	41	204
17	43	196
18	44	189
19	45	183
20	47	177
21	48	172
22	49	167
23	51	161
24	52	156
25	53	151
26	54	147
27	55	143
28	57	139
29	58	136
30	59	133
31	61	129
32	62	126
33	63	123
34	64	120
35	65	117
36	67	114
37	70	115
38	72	113
39	73	110
40	75	108
41	76	105
42	77	102
43	78	100
44	79	97
45	81	95
46	82	92
47	83	90
48	85	88
49	86	86
50	87	84
51	88	81
52	89	79
53	90	77
54	91	74
55	92	72
56	93	70
57	95	68
58	96	67
59	97	65
60	99	63
61	100	61
62	101	59
63	103	58
64	104	56
65	105	54
66	106	52
67	108	50
68	109	49
69	110	47
70	111	45
71	113	43
72	114	42
73	115	40
74	116	38
75	117	37
76	118	35
77	120	33
78	121	32
79	122	30
80	123	28
81	124	27
82	125	25
83	126	24
84	128	22
85	129	21
86	130	19
87	131	17
88	133	16
89	135	15
90	136	13
91	137	11
92	139	10
93	140	8
94	142	7
95	143	5
96	144	4
97	145	2
98	146	1
99	148	0
